target,model,cv_r2,cv_rmse,cv_mae
height,LinearRegression,0.5746664343133328,3.5363575389412265,3.0659674772904744
height,Ridge_a0.1,0.5747998709115274,3.53578492428967,3.0670425109097046
height,Ridge_a1.0,0.5752905237411906,3.5337252777620156,3.075445094192028
height,Ridge_a10.0,0.5725636461113652,3.5458597072574487,3.1422240198586144
height,RandomForest_300,0.9288610417759409,1.406007916293806,1.1679513888888915
height,ExtraTrees_300,0.9423596872921531,1.2441871717700288,0.982036458333336
height,GradientBoosting_300,0.9325514648539881,1.3426300611439292,1.0193366547089737
length,LinearRegression,0.19182595885000964,10.365124516324636,7.8082503152109135
length,Ridge_a0.1,0.19187962422770907,10.364778700065372,7.807724930266925
length,Ridge_a1.0,0.19203403819790613,10.363783368262203,7.809615955682054
length,Ridge_a10.0,0.18931573505129218,10.381227128327758,7.917076991730378
length,RandomForest_300,0.9809161326564053,1.5903847920679994,1.4563715277777836
length,ExtraTrees_300,0.9874258075332629,1.2894937737587964,1.1396145833333389
length,GradientBoosting_300,0.9854650634630191,1.3844097141881446,1.1484259323673296
weight,LinearRegression,-0.02096624915109102,4.715734238663152,4.025879414383797
weight,Ridge_a0.1,-0.02530193283948773,4.721778356006455,4.0299602867534485
weight,Ridge_a1.0,-0.04488325905938251,4.749625060880197,4.0446428653276705
weight,Ridge_a10.0,-0.07831984224334537,4.808617137171473,4.078143760592564
weight,RandomForest_300,0.13153719066165132,3.813532175618086,3.0220138888888886
weight,ExtraTrees_300,0.17043272476033586,3.6755814255109716,2.9086458333333334
weight,GradientBoosting_300,0.15989229314519973,3.763268018020394,2.932099381804406
leaves,LinearRegression,0.061739457872194814,51.661830145876436,40.595803680717296
leaves,Ridge_a0.1,0.06083859216408344,51.69115973607311,40.612445666573215
leaves,Ridge_a1.0,0.05642724894092474,51.836028387852025,40.74927103910346
leaves,Ridge_a10.0,0.022511163691619318,52.81757558304579,41.599425201783944
leaves,RandomForest_300,0.2726585738328874,45.39483296839785,36.75001736111111
leaves,ExtraTrees_300,0.3076607609269726,44.37707569245592,35.77222222222222
leaves,GradientBoosting_300,0.3673502253493369,41.895178557540724,33.32457902891437
branches,LinearRegression,0.02223983574650759,7.713123835894653,6.270755241238384
branches,Ridge_a0.1,0.021007156399877908,7.71676692800623,6.265401127110476
branches,Ridge_a1.0,0.012436651266987953,7.744497577840555,6.262007767388205
branches,Ridge_a10.0,-0.006506450627135479,7.812580245486448,6.270906488857776
branches,RandomForest_300,0.43104754594202355,5.620765022719236,4.422777777777777
branches,ExtraTrees_300,0.5238985663979278,4.986470847294226,3.935625000000001
branches,GradientBoosting_300,0.520713752514961,5.0784723400586005,4.065633858118566
