target,model,target_mode,params,cv_r2,cv_rmse,cv_mae
height,ExtraTrees,raw,"{'n_estimators': 300, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 10}",0.8482629840622125,2.099222871982053,1.6331167515684484
height,ExtraTrees,raw,"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10}",0.9544337721055239,1.0960940170732323,0.8580483167989191
height,ExtraTrees,raw,"{'n_estimators': 800, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None}",0.8526877480317202,2.068909014549434,1.6103802377045464
height,ExtraTrees,raw,"{'n_estimators': 800, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 6}",0.8128297579885866,2.3324226758852715,1.81758147766244
height,ExtraTrees,raw,"{'n_estimators': 500, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 16}",0.7737589391143654,2.5635458114428618,2.050806018268724
height,ExtraTrees,raw,"{'n_estimators': 500, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_features': 'log2', 'max_depth': None}",0.7838401429454324,2.506362776049094,1.989498148459198
height,ExtraTrees,raw,"{'n_estimators': 1200, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'log2', 'max_depth': None}",0.7794101625571649,2.532641043522725,2.0152805300588774
height,ExtraTrees,raw,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 6}",0.8753047984208578,1.8966902608729879,1.4401812061528092
height,ExtraTrees,raw,"{'n_estimators': 300, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10}",0.8856792659199849,1.8222610208336494,1.4203765564373896
height,ExtraTrees,raw,"{'n_estimators': 800, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_features': 0.7, 'max_depth': 10}",0.9333879463830744,1.371509696616552,1.1531108632204634
