system,target,model,test_r2,test_mae,test_rmse
AERO,height,ExtraTrees_250,0.836386814632369,2.587362962962946,3.2601092806041505
AERO,height,GradientBoosting_300,0.8479656059191426,2.4420441630737164,3.1426349198550723
AERO,height,Ridge,0.525336692511672,4.531408777739714,5.552848679231389
AERO,length,ExtraTrees_250,0.9554540092306405,2.6493407407407803,2.8488807288841693
AERO,length,GradientBoosting_300,0.9605211316262456,2.469263767739383,2.681960046698121
AERO,length,Ridge,0.0922509626927891,10.420264452426741,12.860351964414905
AERO,weight,ExtraTrees_250,0.30291229137813735,8.368296296296299,10.129167155263026
AERO,weight,GradientBoosting_300,0.30160181639323236,8.362172256999042,10.138683739271057
AERO,weight,Ridge,-0.2458432719210304,9.978535467498219,13.541342758889616
AERO,leaves,ExtraTrees_250,-0.5965572712413092,123.40237037037039,142.6796220431298
AERO,leaves,GradientBoosting_300,-0.4357458450809686,114.70147722063959,135.3033293670177
AERO,leaves,Ridge,-1.6571121109423474,142.0928258168207,184.0664509656653
AERO,branches,ExtraTrees_250,-0.47269512964939664,9.92577777777778,12.8869565064836
AERO,branches,GradientBoosting_300,-0.43533575846298445,9.695572349444568,12.722448155073176
AERO,branches,Ridge,0.3859093126199904,6.653736536230678,8.321664319825835
DWC,height,ExtraTrees_250,0.8217615305878448,1.5849407407407443,1.7750608736562228
DWC,height,GradientBoosting_300,0.8420269333353777,1.456939543457386,1.671106212439049
DWC,height,Ridge,0.2535868365196434,2.8388908845151324,3.632471153804282
DWC,length,ExtraTrees_250,0.7583649983381199,2.9128888888888613,3.52507616896952
DWC,length,GradientBoosting_300,0.7765748009744251,2.7360918793525486,3.3896484646825003
DWC,length,Ridge,-0.008083368283884562,6.100458861130136,7.200071490237096
DWC,weight,ExtraTrees_250,0.5358584543121665,4.468296296296297,6.546781804825941
DWC,weight,GradientBoosting_300,0.5823688858038503,4.213765672504874,6.210106784371665
DWC,weight,Ridge,-0.14862506871103176,8.564867090687526,10.298922495596837
DWC,leaves,ExtraTrees_250,0.07348811325546911,59.326370370370356,76.21421633498277
DWC,leaves,GradientBoosting_300,0.09822584537275603,56.8769650260526,75.18987843278332
DWC,leaves,Ridge,-0.11700644718385966,72.4519680504892,83.68320992826982
DWC,branches,ExtraTrees_250,0.32480342319135147,6.627555555555556,9.044180121717726
DWC,branches,GradientBoosting_300,0.3731085412683064,6.15559303859623,8.714656300265753
DWC,branches,Ridge,0.12396187440672035,7.657509356759582,10.301858747363015
