date,day,plant_system,ave_ph,ave_do,ave_tds,ave_temp,ave_humidity,plant_no,height,length,weight,leaves,branches
2026-02-06,Friday,AERO,5.79770833333333,3.69833333333333,399.145833333333,23.085,63.29375,1,20.9,34.2,7,66,5
2026-02-06,Friday,AERO,5.79770833333333,3.69833333333333,399.145833333333,23.085,63.29375,2,22.4,48.0,8,31,6
2026-02-06,Friday,AERO,5.79770833333333,3.69833333333333,399.145833333333,23.085,63.29375,3,22.6,36.5,11,95,9
2026-02-06,Friday,AERO,5.79770833333333,3.69833333333333,399.145833333333,23.085,63.29375,4,33.9,17.9,9,58,7
2026-02-06,Friday,AERO,5.79770833333333,3.69833333333333,399.145833333333,23.085,63.29375,5,33.0,60.6,5,71,12
2026-02-06,Friday,AERO,5.79770833333333,3.69833333333333,399.145833333333,23.085,63.29375,6,29.4,42.2,9,56,12
2026-02-06,Friday,DWC,5.79770833333333,3.69833333333333,399.145833333333,23.085,63.29375,1,24.0,50.9,11,93,9
2026-02-06,Friday,DWC,5.79770833333333,3.69833333333333,399.145833333333,23.085,63.29375,2,31.6,41.1,5,52,10
2026-02-06,Friday,DWC,5.79770833333333,3.69833333333333,399.145833333333,23.085,63.29375,3,37.5,64.3,8,31,2
2026-02-06,Friday,DWC,5.79770833333333,3.69833333333333,399.145833333333,23.085,63.29375,4,28.1,40.9,8,51,11
2026-02-06,Friday,DWC,5.79770833333333,3.69833333333333,399.145833333333,23.085,63.29375,5,37.5,49.8,5,29,8
2026-02-06,Friday,DWC,5.79770833333333,3.69833333333333,399.145833333333,23.085,63.29375,6,33.2,51.2,5,32,6
2026-02-07,Saturday,AERO,5.80479166666667,3.64708333333333,408.729166666667,23.255625,62.9891666666667,1,21.0,34.4,7,72,5
2026-02-07,Saturday,AERO,5.80479166666667,3.64708333333333,408.729166666667,23.255625,62.9891666666667,2,22.4,48.2,8,33,6
2026-02-07,Saturday,AERO,5.80479166666667,3.64708333333333,408.729166666667,23.255625,62.9891666666667,3,22.7,36.7,11,100,10
2026-02-07,Saturday,AERO,5.80479166666667,3.64708333333333,408.729166666667,23.255625,62.9891666666667,4,34.1,18.1,9,62,7
2026-02-07,Saturday,AERO,5.80479166666667,3.64708333333333,408.729166666667,23.255625,62.9891666666667,5,33.2,60.9,5,76,13
2026-02-07,Saturday,AERO,5.80479166666667,3.64708333333333,408.729166666667,23.255625,62.9891666666667,6,29.6,42.5,9,61,13
2026-02-07,Saturday,DWC,5.80479166666667,3.64708333333333,408.729166666667,23.255625,62.9891666666667,1,24.2,51.2,12,95,9
2026-02-07,Saturday,DWC,5.80479166666667,3.64708333333333,408.729166666667,23.255625,62.9891666666667,2,31.8,41.4,4,50,11
2026-02-07,Saturday,DWC,5.80479166666667,3.64708333333333,408.729166666667,23.255625,62.9891666666667,3,37.7,64.5,9,33,2
2026-02-07,Saturday,DWC,5.80479166666667,3.64708333333333,408.729166666667,23.255625,62.9891666666667,4,28.2,41.1,8,54,14
2026-02-07,Saturday,DWC,5.80479166666667,3.64708333333333,408.729166666667,23.255625,62.9891666666667,5,37.7,50.1,5,29,8
2026-02-07,Saturday,DWC,5.80479166666667,3.64708333333333,408.729166666667,23.255625,62.9891666666667,6,33.5,51.6,6,29,7
2026-02-09,Monday,AERO,5.85458333333333,3.64645833333333,432.1875,23.21125,63.5139583333333,1,21.2,34.7,7,78,6
2026-02-09,Monday,AERO,5.85458333333333,3.64645833333333,432.1875,23.21125,63.5139583333333,2,22.8,48.8,8,35,6
2026-02-09,Monday,AERO,5.85458333333333,3.64645833333333,432.1875,23.21125,63.5139583333333,3,23.1,37.3,12,105,11
2026-02-09,Monday,AERO,5.85458333333333,3.64645833333333,432.1875,23.21125,63.5139583333333,4,34.5,18.6,10,66,8
